     t      T1up     T1dn     T2up     T2dn 
    0.20   2274.0   2041.0   1934.0   1942.0 
    0.60   2415.0   1805.0   2061.0   1663.0 
    1.00   1941.0   1300.0   1705.0   1222.0 
    1.40   1461.0    987.0   1158.0    957.0 
    1.80   1138.0    852.0    915.0    772.0 
    2.20    937.0    608.0    746.0    600.0 
    2.60    804.0    583.0    582.0    545.0 
    3.00    646.0    461.0    470.0    413.0 
    3.40    508.0    383.0    339.0    395.0 
    3.80    433.0    297.0    291.0    317.0 
    4.20    382.0    277.0    224.0    238.0 
    4.60    266.0    238.0    204.0    201.0 
    5.00    237.0    200.0    186.0    172.0 
    5.40    195.0    138.0    147.0    149.0 
    5.80    193.0    144.0    120.0    124.0 
    6.20    145.0     89.0     90.0     97.0 
    6.60    109.0     90.0     87.0     79.0 
    7.00     91.0     84.0     80.0     59.0 
    7.40     95.0     78.0     49.0     54.0 
    7.80     75.0     69.0     61.0     46.0 
    8.20     71.0     52.0     62.0     41.0 
    8.60     61.0     41.0     33.0     31.0 
    9.00     49.0     41.0     30.0     39.0 
    9.40     46.0     27.0     24.0     33.0 
    9.80     45.0     27.0     32.0     32.0 
   10.20     35.0     19.0     25.0     16.0 
   10.60     37.0     19.0     19.0     19.0 
   11.00     24.0     14.0     17.0     16.0 
   11.40     33.0     16.0     12.0     14.0 
   11.80     35.0     14.0     10.0     11.0 
   12.20     17.0      9.0     10.0     14.0 
   12.60     21.0     12.0     10.0      9.0 
   13.00     17.0      9.0      8.0     10.0 
   13.40     23.0      7.0     10.0      3.0 
   13.80     17.0     14.0     11.0      8.0 
   14.20     18.0     13.0      9.0      7.0 
   14.60     16.0     13.0      5.0     15.0 
   15.00     19.0      5.0      6.0      5.0 
   15.40     13.0      8.0      5.0      5.0 
   15.80     26.0     12.0      5.0      7.0 
   16.20     17.0     11.0      3.0      4.0 
   16.60     18.0     11.0      3.0     15.0 
   17.00     17.0      7.0      9.0      7.0 
   17.40     16.0      3.0      2.0     14.0 
   17.80     16.0     10.0      3.0      5.0 
   18.20     19.0     10.0      7.0      8.0 
   18.60     18.0      6.0      6.0      5.0 
   19.00     12.0     10.0      2.0      5.0 
   19.40      9.0      5.0      7.0      8.0 
   19.80      8.0      6.0      5.0      9.0 
