     t      T1up     T1dn     T2up     T2dn 
    0.20   1275.0   1050.0   1033.0   1014.0 
    0.60   1254.0    894.0   1075.0    880.0 
    1.00   1052.0    658.0    882.0    662.0 
    1.40    756.0    515.0    624.0    551.0 
    1.80    601.0    429.0    483.0    426.0 
    2.20    509.0    358.0    395.0    336.0 
    2.60    414.0    289.0    317.0    274.0 
    3.00    341.0    249.0    240.0    242.0 
    3.40    263.0    218.0    181.0    196.0 
    3.80    211.0    156.0    164.0    169.0 
    4.20    181.0    155.0    140.0    152.0 
    4.60    160.0    118.0    105.0    114.0 
    5.00    123.0     94.0     84.0    103.0 
    5.40    113.0     74.0     83.0     71.0 
    5.80    105.0     66.0     51.0     66.0 
    6.20     92.0     54.0     53.0     56.0 
    6.60     71.0     47.0     48.0     33.0 
    7.00     62.0     47.0     36.0     37.0 
    7.40     58.0     23.0     32.0     33.0 
    7.80     50.0     21.0     28.0     28.0 
    8.20     33.0     31.0     27.0     20.0 
    8.60     37.0     16.0     25.0     17.0 
    9.00     29.0     17.0     18.0     16.0 
    9.40     26.0     22.0     21.0     10.0 
    9.80     23.0     19.0      9.0     12.0 
   10.20     17.0     19.0     14.0     11.0 
   10.60     13.0      6.0      5.0      6.0 
   11.00      8.0      6.0      5.0      8.0 
   11.40     13.0     15.0      4.0      7.0 
   11.80     21.0     19.0      7.0      9.0 
   12.20     15.0      7.0      1.0      7.0 
   12.60     12.0      9.0      3.0      5.0 
   13.00     19.0      7.0      9.0      5.0 
   13.40     13.0      3.0      4.0      9.0 
   13.80     10.0      6.0      4.0      9.0 
   14.20     10.0      2.0      3.0      4.0 
   14.60      8.0      5.0      8.0      5.0 
   15.00     14.0      1.0      3.0      1.0 
   15.40     10.0      7.0      1.0      1.0 
   15.80      7.0      7.0      2.0      4.0 
   16.20      6.0      4.0      4.0      6.0 
   16.60      7.0      5.0      5.0      6.0 
   17.00      3.0      4.0      4.0      5.0 
   17.40      8.0      4.0      1.0      2.0 
   17.80      9.0      6.0      2.0      1.0 
   18.20      8.0      3.0      3.0      2.0 
   18.60     11.0      2.0      5.0      1.0 
   19.00      9.0      2.0      3.0      3.0 
   19.40      4.0      1.0      1.0      1.0 
   19.80      9.0      1.0      3.0      2.0 
