     t      T1up     T1dn     T2up     T2dn 
    0.20   1285.0    980.0   1016.0    958.0 
    0.60   1217.0    904.0   1034.0    826.0 
    1.00   1008.0    675.0    905.0    632.0 
    1.40    736.0    534.0    585.0    491.0 
    1.80    572.0    429.0    496.0    401.0 
    2.20    459.0    294.0    376.0    309.0 
    2.60    388.0    242.0    315.0    232.0 
    3.00    312.0    216.0    254.0    208.0 
    3.40    287.0    158.0    206.0    176.0 
    3.80    224.0    154.0    173.0    156.0 
    4.20    197.0    103.0    168.0    117.0 
    4.60    144.0    102.0    115.0    103.0 
    5.00    121.0     99.0     95.0     90.0 
    5.40    118.0     73.0     90.0     78.0 
    5.80     90.0     78.0     56.0     43.0 
    6.20     79.0     53.0     52.0     49.0 
    6.60     71.0     39.0     54.0     46.0 
    7.00     65.0     31.0     46.0     30.0 
    7.40     39.0     23.0     36.0     26.0 
    7.80     40.0     26.0     29.0     25.0 
    8.20     41.0     22.0     26.0     16.0 
    8.60     39.0     17.0     19.0     18.0 
    9.00     30.0     12.0     22.0      9.0 
    9.40     21.0     15.0     12.0     11.0 
    9.80     15.0     10.0     12.0      9.0 
   10.20     17.0     12.0     13.0     11.0 
   10.60      9.0     12.0     13.0     12.0 
   11.00      9.0      6.0      7.0      9.0 
   11.40     18.0      5.0      7.0      5.0 
   11.80     14.0      7.0      4.0      6.0 
   12.20     14.0      9.0      4.0      4.0 
   12.60     13.0      9.0      3.0      8.0 
   13.00      9.0      2.0      4.0      9.0 
   13.40     10.0      9.0      2.0      3.0 
   13.80      8.0      8.0      7.0      4.0 
   14.20     10.0      5.0      3.0      6.0 
   14.60     15.0      7.0      5.0      3.0 
   15.00     10.0      5.0      2.0      2.0 
   15.40      7.0      4.0      2.0      7.0 
   15.80      9.0      3.0      3.0      1.0 
   16.20     11.0      4.0      3.0      3.0 
   16.60     15.0      7.0      1.0      4.0 
   17.00      7.0      4.0      4.0      2.0 
   17.40      6.0      7.0      2.0      4.0 
   17.80     10.0      7.0      2.0      8.0 
   18.20      2.0      5.0      4.0      2.0 
   18.60      5.0      1.0      5.0      5.0 
   19.00      5.0      3.0      1.0      7.0 
   19.40      9.0      4.0      3.0      1.0 
   19.80      8.0      5.0      6.0      1.0 
