     t      T1up     T1dn     T2up     T2dn 
    0.20   1181.0   1118.0   1043.0   1045.0 
    0.60   1234.0    912.0   1066.0    833.0 
    1.00    996.0    691.0    899.0    610.0 
    1.40    805.0    547.0    599.0    499.0 
    1.80    626.0    434.0    459.0    403.0 
    2.20    484.0    338.0    395.0    348.0 
    2.60    412.0    301.0    296.0    282.0 
    3.00    366.0    217.0    238.0    247.0 
    3.40    265.0    203.0    218.0    192.0 
    3.80    226.0    178.0    142.0    154.0 
    4.20    171.0    133.0    135.0    134.0 
    4.60    157.0    115.0     95.0    124.0 
    5.00    127.0     78.0     77.0    104.0 
    5.40    100.0     84.0     83.0     79.0 
    5.80     88.0     57.0     69.0     63.0 
    6.20     55.0     53.0     48.0     56.0 
    6.60     53.0     36.0     55.0     39.0 
    7.00     55.0     44.0     33.0     30.0 
    7.40     54.0     25.0     34.0     37.0 
    7.80     48.0     25.0     27.0     27.0 
    8.20     35.0     27.0     32.0     27.0 
    8.60     27.0     23.0     22.0     13.0 
    9.00     33.0     12.0     13.0     20.0 
    9.40     37.0      7.0     23.0     19.0 
    9.80     15.0     13.0     13.0      9.0 
   10.20     20.0      7.0     10.0     14.0 
   10.60     15.0      9.0      7.0      9.0 
   11.00     17.0     13.0      9.0      7.0 
   11.40     13.0      9.0      5.0      6.0 
   11.80     14.0      6.0      4.0      6.0 
   12.20     13.0      5.0      5.0     10.0 
   12.60     11.0     11.0      8.0      5.0 
   13.00     16.0      4.0      3.0      3.0 
   13.40     12.0      6.0      5.0      5.0 
   13.80      6.0      8.0      3.0      9.0 
   14.20     11.0      5.0      2.0      2.0 
   14.60      8.0      3.0      5.0      2.0 
   15.00      4.0      5.0      3.0      5.0 
   15.40     11.0      4.0      2.0      5.0 
   15.80     16.0      3.0      5.0      1.0 
   16.20      7.0      3.0      3.0      1.0 
   16.60     13.0      3.0      1.0      4.0 
   17.00      4.0      4.0      2.0      3.0 
   17.40     11.0      3.0      1.0      2.0 
   17.80      7.0      8.0      2.0      2.0 
   18.20      6.0      8.0      3.0      5.0 
   18.60      7.0      5.0      4.0      1.0 
   19.00     10.0      4.0      1.0      2.0 
   19.40      6.0      3.0      2.0      3.0 
   19.80      5.0      4.0      1.0      9.0 
