794.	5.075
794.00002	4.93
794.00004	4.906
794.00006	4.921
794.00008	5.065
794.0001	4.945
794.00012	4.915
794.00014	4.947
794.00016	4.898
794.00018	4.961
794.0002	5.007
794.00022	4.973
794.00024	4.938
794.00026	4.915
794.00028	4.976
794.0003	4.968
794.00032	5.066
794.00034	4.975
794.00036	4.923
794.00038	4.912
794.0004	5.061
794.00042	4.999
794.00044	5.001
794.00046	5.071
794.00048	4.979
794.0005	4.957
794.00052	4.976
794.00054	5.012
794.00056	4.924
794.00058	5.03
794.0006	4.95
794.00062	4.956
794.00064	4.981
794.00066	4.984
794.00068	4.968
794.0007	4.902
794.00072	5.065
794.00074	4.905
794.00076	5.005
794.00078	4.956
794.0008	4.907
794.00082	5.044
794.00084	4.932
794.00086	5.029
794.00088	4.923
794.0009	4.891
794.00092	4.998
794.00094	4.878
794.00096	4.977
794.00098	4.985
794.001	4.991
794.00102	4.974
794.00104	4.928
794.00106	4.932
794.00108	4.953
794.0011	4.907
794.00112	4.93
794.00114	4.982
794.00116	5.028
794.00118	4.939
794.0012	4.984
794.00122	5.062
794.00124	4.956
794.00126	4.975
794.00128	4.98
794.0013	4.961
794.00132	5.01
794.00134	4.975
794.00136	5.034
794.00138	4.868
794.0014	4.937
794.00142	4.847
794.00144	5.06
794.00146	4.96
794.00148	5.009
794.0015	5.053
794.00152	4.914
794.00154	5.011
794.00156	5.034
794.00158	4.869
794.0016	4.899
794.00162	4.977
794.00164	5.007
794.00166	4.977
794.00168	4.994
794.0017	4.936
794.00172	4.883
794.00174	4.98
794.00176	5.011
794.00178	4.888
794.0018	4.991
794.00182	5.062
794.00184	4.977
794.00186	4.938
794.00188	5.111
794.0019	4.976
794.00192	4.971
794.00194	4.951
794.00196	4.98
794.00198	4.929
794.002	5.016
794.00202	4.942
794.00204	5.003
794.00206	4.995
794.00208	4.965
794.0021	5.007
794.00212	4.963
794.00214	4.952
794.00216	5.007
794.00218	5.014
794.0022	4.96
794.00222	4.897
794.00224	4.953
794.00226	5.025
794.00228	4.986
794.0023	4.958
794.00232	5.011
794.00234	5.046
794.00236	4.971
794.00238	4.989
794.0024	4.884
794.00242	4.985
794.00244	4.911
794.00246	5.002
794.00248	5.019
794.0025	4.931
794.00252	4.979
794.00254	4.946
794.00256	4.95
794.00258	4.992
794.0026	4.936
794.00262	4.94
794.00264	4.903
794.00266	4.911
794.00268	5.046
794.0027	4.966
794.00272	4.987
794.00274	4.976
794.00276	5.004
794.00278	4.982
794.0028	4.967
794.00282	4.911
794.00284	5.018
794.00286	5.01
794.00288	4.975
794.0029	4.985
794.00292	4.99
794.00294	4.935
794.00296	4.983
794.00298	4.931
794.003	4.987
794.00302	5.024
794.00304	4.994
794.00306	4.913
794.00308	4.919
794.0031	5.005
794.00312	4.967
794.00314	4.919
794.00316	4.997
794.00318	5.023
794.0032	4.913
794.00322	4.878
794.00324	5.005
