Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,   -92.17,    39.06
    2.0,   -90.52,    39.16
    4.0,   -86.39,    39.20
    6.0,   -91.34,    39.37
    8.0,   -13.75,    39.95
   10.0,   -21.18,    40.04
   12.0,   -28.61,    39.64
   14.0,   -33.56,    40.15
   16.0,   -85.57,    40.07
   18.0,   -93.00,    39.50
   20.0,   -85.57,    39.32
   22.0,   -88.04,    39.65
   24.0,   -90.52,    38.87
   26.0,   -79.79,    39.17
   28.0,   -82.26,    38.55
   30.0,   -93.00,    38.13
   32.0,   -79.79,    37.44
   34.0,   -78.14,    36.96
   36.0,   -74.84,    37.04
   38.0,   -70.71,    35.87
   40.0,   -56.68,    35.87
   42.0,   -83.09,    34.60
   44.0,   -47.60,    33.91
   46.0,   -45.95,    33.80
   48.0,   -44.29,    32.39
   50.0,   -43.47,    31.57
   52.0,   -44.29,    31.02
   54.0,   -93.82,    30.07
   56.0,   -36.87,    29.19
   58.0,   -22.01,    28.48
   60.0,   -22.83,    26.78
   62.0,   -15.40,    26.44
   64.0,   -11.28,    25.37
   66.0,    -9.63,    24.21
   68.0,    -8.80,    22.47
   70.0,    -3.02,    21.93
   72.0,    -2.20,    20.74
   74.0,   -87.22,    19.60
   76.0,    -5.50,    18.07
   78.0,    -3.85,    16.76
   80.0,    -4.67,    15.49
   82.0,  -155.73,    14.21
   84.0,  -155.73,    13.02
   86.0,   -22.83,    11.70
   88.0,     7.71,    10.61
