Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,     7.71,    39.06
    2.0,     6.88,    39.16
    4.0,     3.58,    39.20
    6.0,    -0.55,    39.37
    8.0,    -3.02,    39.95
   10.0,    -9.63,    40.04
   12.0,   -17.06,    39.64
   14.0,   -20.36,    40.15
   16.0,   -24.48,    40.07
   18.0,   -32.74,    39.50
   20.0,   -55.03,    39.32
   22.0,   -70.71,    39.65
   24.0,   -75.66,    38.87
   26.0,   -70.71,    39.17
   28.0,   -69.88,    38.55
   30.0,   -69.06,    38.13
   32.0,   -69.88,    37.44
   34.0,   -67.41,    36.96
   36.0,   -60.80,    37.04
   38.0,   -57.50,    35.87
   40.0,   -48.42,    35.87
   42.0,   -51.72,    34.60
   44.0,   -42.64,    33.91
   46.0,   -40.17,    33.80
   48.0,   -40.17,    32.39
   50.0,   -39.34,    31.57
   52.0,   -38.52,    31.02
   54.0,   -87.22,    30.07
   56.0,   -30.26,    29.19
   58.0,   -15.40,    28.48
   60.0,   -17.06,    26.78
   62.0,    -8.80,    26.44
   64.0,    -5.50,    25.37
   66.0,    -3.02,    24.21
   68.0,    -3.85,    22.47
   70.0,     1.10,    21.93
   72.0,     1.10,    20.74
   74.0,    -1.37,    19.60
   76.0,    -3.02,    18.07
   78.0,    -1.37,    16.76
   80.0,    -3.02,    15.49
   82.0,    -3.02,    14.21
   84.0,   -22.83,    13.02
   86.0,     1.93,    11.70
   88.0,    11.83,    10.61
