Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,   -89.69,    39.06
    2.0,   -88.04,    39.16
    4.0,    -5.50,    39.20
    6.0,    -8.80,    39.37
    8.0,   -11.28,    39.95
   10.0,   -17.88,    40.04
   12.0,   -26.14,    39.64
   14.0,   -30.26,    40.15
   16.0,   -34.39,    40.07
   18.0,   -90.52,    39.50
   20.0,   -83.09,    39.32
   22.0,   -85.57,    39.65
   24.0,   -88.87,    38.87
   26.0,   -78.14,    39.17
   28.0,   -78.96,    38.55
   30.0,   -91.34,    38.13
   32.0,   -77.31,    37.44
   34.0,   -74.84,    36.96
   36.0,   -70.71,    37.04
   38.0,   -67.41,    35.87
   40.0,   -55.03,    35.87
   42.0,   -65.76,    34.60
   44.0,   -46.77,    33.91
   46.0,   -44.29,    33.80
   48.0,   -43.47,    32.39
   50.0,   -42.64,    31.57
   52.0,   -42.64,    31.02
   54.0,   -93.00,    30.07
   56.0,   -35.22,    29.19
   58.0,   -21.18,    28.48
   60.0,   -22.01,    26.78
   62.0,   -13.75,    26.44
   64.0,    -9.63,    25.37
   66.0,    -8.80,    24.21
   68.0,    -7.98,    22.47
   70.0,    -2.20,    21.93
   72.0,    -1.37,    20.74
   74.0,    -3.85,    19.60
   76.0,    -4.67,    18.07
   78.0,    -3.85,    16.76
   80.0,    -4.67,    15.49
   82.0,    -4.67,    14.21
   84.0,   -24.48,    13.02
   86.0,    -0.55,    11.70
   88.0,     7.71,    10.61
