Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,    15.96,    39.06
    2.0,    15.14,    39.16
    4.0,    11.83,    39.20
    6.0,     9.36,    39.37
    8.0,     6.88,    39.95
   10.0,     1.93,    40.04
   12.0,    -4.67,    39.64
   14.0,    -3.85,    40.15
   16.0,    -8.80,    40.07
   18.0,   -13.75,    39.50
   20.0,   -17.88,    39.32
   22.0,   -19.53,    39.65
   24.0,   -25.31,    38.87
   26.0,   -18.71,    39.17
   28.0,   -17.06,    38.55
   30.0,   -59.15,    38.13
   32.0,   -55.03,    37.44
   34.0,   -51.72,    36.96
   36.0,   -45.12,    37.04
   38.0,   -45.12,    35.87
   40.0,   -36.87,    35.87
   42.0,   -41.82,    34.60
   44.0,   -36.04,    33.91
   46.0,   -34.39,    33.80
   48.0,   -34.39,    32.39
   50.0,   -33.56,    31.57
   52.0,   -31.91,    31.02
   54.0,   -22.01,    30.07
   56.0,   -22.01,    29.19
   58.0,    -8.80,    28.48
   60.0,   -10.45,    26.78
   62.0,    -3.02,    26.44
   64.0,     0.28,    25.37
   66.0,     3.58,    24.21
   68.0,     1.10,    22.47
   70.0,     5.23,    21.93
   72.0,     5.23,    20.74
   74.0,     2.75,    19.60
   76.0,     1.10,    18.07
   78.0,     1.93,    16.76
   80.0,     0.28,    15.49
   82.0,     0.28,    14.21
   84.0,     6.06,    13.02
   86.0,     6.06,    11.70
   88.0,    13.49,    10.61
