Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,   -87.22,    39.06
    2.0,     1.93,    39.16
    4.0,    -3.02,    39.20
    6.0,    -7.15,    39.37
    8.0,    -9.63,    39.95
   10.0,   -15.40,    40.04
   12.0,   -23.66,    39.64
   14.0,   -27.79,    40.15
   16.0,   -31.09,    40.07
   18.0,   -87.22,    39.50
   20.0,   -80.61,    39.32
   22.0,   -83.09,    39.65
   24.0,   -86.39,    38.87
   26.0,   -76.49,    39.17
   28.0,   -76.49,    38.55
   30.0,   -90.52,    38.13
   32.0,   -74.84,    37.44
   34.0,   -72.36,    36.96
   36.0,   -68.23,    37.04
   38.0,   -64.93,    35.87
   40.0,   -53.37,    35.87
   42.0,   -59.98,    34.60
   44.0,   -45.12,    33.91
   46.0,   -43.47,    33.80
   48.0,   -42.64,    32.39
   50.0,   -41.82,    31.57
   52.0,   -41.82,    31.02
   54.0,   -92.17,    30.07
   56.0,   -33.56,    29.19
   58.0,   -19.53,    28.48
   60.0,   -20.36,    26.78
   62.0,   -12.93,    26.44
   64.0,    -8.80,    25.37
   66.0,    -7.15,    24.21
   68.0,    -6.32,    22.47
   70.0,    -1.37,    21.93
   72.0,    -0.55,    20.74
   74.0,    -3.02,    19.60
   76.0,    -4.67,    18.07
   78.0,    -3.02,    16.76
   80.0,    -3.85,    15.49
   82.0,    -4.67,    14.21
   84.0,   -23.66,    13.02
   86.0,     0.28,    11.70
   88.0,     8.53,    10.61
