Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,     4.41,    39.06
    2.0,     3.58,    39.16
    4.0,    -0.55,    39.20
    6.0,    -4.67,    39.37
    8.0,    -7.15,    39.95
   10.0,   -13.75,    40.04
   12.0,   -22.01,    39.64
   14.0,   -25.31,    40.15
   16.0,   -29.44,    40.07
   18.0,   -45.12,    39.50
   20.0,   -78.14,    39.32
   22.0,   -80.61,    39.65
   24.0,   -83.92,    38.87
   26.0,   -74.84,    39.17
   28.0,   -74.01,    38.55
   30.0,   -88.87,    38.13
   32.0,   -73.19,    37.44
   34.0,   -71.53,    36.96
   36.0,   -66.58,    37.04
   38.0,   -62.45,    35.87
   40.0,   -51.72,    35.87
   42.0,   -57.50,    34.60
   44.0,   -44.29,    33.91
   46.0,   -42.64,    33.80
   48.0,   -41.82,    32.39
   50.0,   -41.82,    31.57
   52.0,   -40.99,    31.02
   54.0,   -90.52,    30.07
   56.0,   -32.74,    29.19
   58.0,   -18.71,    28.48
   60.0,   -19.53,    26.78
   62.0,   -11.28,    26.44
   64.0,    -7.15,    25.37
   66.0,    -5.50,    24.21
   68.0,    -5.50,    22.47
   70.0,    -0.55,    21.93
   72.0,     0.28,    20.74
   74.0,    -3.02,    19.60
   76.0,    -3.85,    18.07
   78.0,    -3.02,    16.76
   80.0,    -3.85,    15.49
   82.0,    -3.85,    14.21
   84.0,   -23.66,    13.02
   86.0,     1.10,    11.70
   88.0,     8.53,    10.61
