Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,   -95.47,    39.06
    2.0,   -95.47,    39.16
    4.0,  -124.36,    39.20
    6.0,  -149.13,    39.37
    8.0,   -93.82,    39.95
   10.0,   -30.26,    40.04
   12.0,   -83.09,    39.64
   14.0,   -93.82,    40.15
   16.0,   -94.65,    40.07
   18.0,   -98.77,    39.50
   20.0,   -91.34,    39.32
   22.0,   -92.17,    39.65
   24.0,   -93.82,    38.87
   26.0,   -87.22,    39.17
   28.0,   -91.34,    38.55
   30.0,   -95.47,    38.13
   32.0,   -93.82,    37.44
   34.0,   -98.77,    36.96
   36.0,  -136.74,    37.04
   38.0,  -137.57,    35.87
   40.0,   -89.69,    35.87
   42.0,  -115.28,    34.60
   44.0,   -50.07,    33.91
   46.0,   -50.07,    33.80
   48.0,   -46.77,    32.39
   50.0,   -45.95,    31.57
   52.0,   -93.00,    31.02
   54.0,   -96.30,    30.07
   56.0,   -40.17,    29.19
   58.0,   -25.31,    28.48
   60.0,   -26.14,    26.78
   62.0,   -20.36,    26.44
   64.0,   -16.23,    25.37
   66.0,   -14.58,    24.21
   68.0,   -12.93,    22.47
   70.0,    -7.15,    21.93
   72.0,    -4.67,    20.74
   74.0,   -93.00,    19.60
   76.0,   -21.18,    18.07
   78.0,  -156.55,    16.76
   80.0,    -6.32,    15.49
   82.0,  -156.55,    14.21
   84.0,  -156.55,    13.02
   86.0,  -155.73,    11.70
   88.0,     6.88,    10.61
