Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,     8.53,    39.06
    2.0,     7.71,    39.16
    4.0,     4.41,    39.20
    6.0,     1.10,    39.37
    8.0,    -2.20,    39.95
   10.0,    -7.98,    40.04
   12.0,   -15.40,    39.64
   14.0,   -18.71,    40.15
   16.0,   -22.83,    40.07
   18.0,   -31.09,    39.50
   20.0,   -45.12,    39.32
   22.0,   -68.23,    39.65
   24.0,   -72.36,    38.87
   26.0,   -69.06,    39.17
   28.0,   -69.06,    38.55
   30.0,   -68.23,    38.13
   32.0,   -68.23,    37.44
   34.0,   -66.58,    36.96
   36.0,   -59.15,    37.04
   38.0,   -56.68,    35.87
   40.0,   -47.60,    35.87
   42.0,   -50.90,    34.60
   44.0,   -41.82,    33.91
   46.0,   -39.34,    33.80
   48.0,   -39.34,    32.39
   50.0,   -39.34,    31.57
   52.0,   -37.69,    31.02
   54.0,   -28.61,    30.07
   56.0,   -29.44,    29.19
   58.0,   -14.58,    28.48
   60.0,   -16.23,    26.78
   62.0,    -8.80,    26.44
   64.0,    -4.67,    25.37
   66.0,    -2.20,    24.21
   68.0,    -3.02,    22.47
   70.0,     1.93,    21.93
   72.0,     1.93,    20.74
   74.0,    -0.55,    19.60
   76.0,    -2.20,    18.07
   78.0,    -1.37,    16.76
   80.0,    -2.20,    15.49
   82.0,    -3.02,    14.21
   84.0,   -22.83,    13.02
   86.0,     2.75,    11.70
   88.0,    11.83,    10.61
