Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,     6.06,    39.06
    2.0,     4.41,    39.16
    4.0,     1.10,    39.20
    6.0,    -3.02,    39.37
    8.0,    -6.32,    39.95
   10.0,   -12.10,    40.04
   12.0,   -20.36,    39.64
   14.0,   -23.66,    40.15
   16.0,   -27.79,    40.07
   18.0,   -39.34,    39.50
   20.0,   -72.36,    39.32
   22.0,   -78.14,    39.65
   24.0,   -81.44,    38.87
   26.0,   -73.19,    39.17
   28.0,   -72.36,    38.55
   30.0,   -87.22,    38.13
   32.0,   -71.53,    37.44
   34.0,   -69.88,    36.96
   36.0,   -64.11,    37.04
   38.0,   -60.80,    35.87
   40.0,   -50.90,    35.87
   42.0,   -55.03,    34.60
   44.0,   -43.47,    33.91
   46.0,   -41.82,    33.80
   48.0,   -40.99,    32.39
   50.0,   -40.99,    31.57
   52.0,   -40.17,    31.02
   54.0,   -89.69,    30.07
   56.0,   -31.91,    29.19
   58.0,   -17.06,    28.48
   60.0,   -18.71,    26.78
   62.0,   -10.45,    26.44
   64.0,    -6.32,    25.37
   66.0,    -4.67,    24.21
   68.0,    -4.67,    22.47
   70.0,     0.28,    21.93
   72.0,     0.28,    20.74
   74.0,    -2.20,    19.60
   76.0,    -3.85,    18.07
   78.0,    -2.20,    16.76
   80.0,    -3.02,    15.49
   82.0,    -3.85,    14.21
   84.0,   -23.66,    13.02
   86.0,     1.10,    11.70
   88.0,     8.53,    10.61
