Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,   -93.82,    39.06
    2.0,   -93.00,    39.16
    4.0,   -93.00,    39.20
    6.0,  -107.85,    39.37
    8.0,   -87.22,    39.95
   10.0,   -24.48,    40.04
   12.0,   -31.91,    39.64
   14.0,   -39.34,    40.15
   16.0,   -91.34,    40.07
   18.0,   -95.47,    39.50
   20.0,   -88.04,    39.32
   22.0,   -90.52,    39.65
   24.0,   -92.17,    38.87
   26.0,   -83.09,    39.17
   28.0,   -87.22,    38.55
   30.0,   -93.82,    38.13
   32.0,   -85.57,    37.44
   34.0,   -87.22,    36.96
   36.0,   -90.52,    37.04
   38.0,   -93.82,    35.87
   40.0,   -59.15,    35.87
   42.0,   -95.47,    34.60
   44.0,   -48.42,    33.91
   46.0,   -47.60,    33.80
   48.0,   -45.12,    32.39
   50.0,   -44.29,    31.57
   52.0,   -47.60,    31.02
   54.0,   -95.47,    30.07
   56.0,   -38.52,    29.19
   58.0,   -23.66,    28.48
   60.0,   -24.48,    26.78
   62.0,   -17.88,    26.44
   64.0,   -12.93,    25.37
   66.0,   -12.10,    24.21
   68.0,   -10.45,    22.47
   70.0,    -4.67,    21.93
   72.0,    -3.02,    20.74
   74.0,   -90.52,    19.60
   76.0,    -6.32,    18.07
   78.0,    -4.67,    16.76
   80.0,    -5.50,    15.49
   82.0,  -156.55,    14.21
   84.0,  -155.73,    13.02
   86.0,   -23.66,    11.70
   88.0,     7.71,    10.61
